run       	runtime   	costs     	aligned   	prec      	rec       	f1        	acc       
001       	  8428ms  	17.1%     	-13.5%    	0.70      	0.61      	0.65      	0.89      
002       	  4488ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
003       	  4633ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
004       	  2797ms  	-5.9%     	4.7%      	0.84      	0.88      	0.86      	0.94      
005       	  2783ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
006       	  3174ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
007       	  3792ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
008       	  4251ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
009       	  4202ms  	-6.6%     	5.2%      	0.84      	0.89      	0.86      	0.94      
010       	  3821ms  	0.0%      	0.0%      	1.00      	1.00      	1.00      	1.00      
avg       	  4236ms  	0.5%      	-0.4%     	0.94      	0.94      	0.94      	0.98      
